//联锁表-呼和浩特南站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
81    |LCJL|SIVLA,XFLA    |SIV     |(49-51),13,1-3,5-7                     |51DG,49DG,13/49WG,13DG,1-7DG,IIAG,71DG,S1LQ                     |D23,D11,D7,D3,XF;
82    |LCJL|S6LA,XLA    |S6     |57-59,71-73,15-17,(13),1-3,(5-7),1-3                     |59DG,59/73WG,73DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,X3JG                     |D39,D33,D21,D9,D7,D1,X;
83    |LCJL|S6LA,XFLA    |S6     |57-59,71-73,15-17,(13),1-3,5-7                     |59DG,59/73WG,73DG,15DG,13/15WG,13DG,1-7DG,IIAG,S1LQ                     |D39,D33,D21,D9,D7,D3,XF;
84    |LCJL|S8LA,XLA    |S8     |57-59,53-55,(15-17),(13),1-3,(5-7),1-3                     |53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,73DG,X3JG                     |D35,D31,D21,D9,D7,D1,X;
85    |LCJL|S8LA,XFLA    |S8     |57-59,53-55,(15-17),(13),1-3,5-7                     |53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,IIAG,73DG,S1LQ                     |D35,D31,D21,D9,D7,D3,XF;
86    |LCJL|SXLA,XLA    |SX     |81-85<83>,(53-55),(15-17),(13),1-3,(5-7),1-3                     |55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,73DG,X3JG                     |D35,D31,D21,D9,D7,D1,X;
87    |LCJL|SXLA,XFLA    |SX     |81-85<83>,(53-55),(15-17),(13),1-3,5-7                     |55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,IIAG,73DG,S1LQ                     |D35,D31,D21,D9,D7,D3,XF;
88    |LCJL|SXLA,PLA1    |SX     |81-85<83>,53-55,63-65,121-123,39-41,47                     |55-81DG,55/63WG,63-121DG,41-47DG                     |D37,D87,D17,PLA1;
89    |LCJL|S12LA,XLA    |S12     |69,87<89>,(81-85<83>),(53-55),(15-17),(13),1-3,(5-7),1-3                     |69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,91DG,73DG,X3JG                     |D35,D31,D21,D9,D7,D1,X;
90    |LCJL|S12LA,XFLA    |S12     |69,87<89>,(81-85<83>),(53-55),(15-17),(13),1-3,5-7                     |69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,IIAG,91DG,73DG,S1LQ                     |D35,D31,D21,D9,D7,D3,XF;
91    |LCJL|S12LA,PLA1    |S12     |69,87<89>,81-85<83>,67,(63-65),121-123,39-41,47                     |69-89DG,67/89WG,67DG,65/67WG,65DG,63-121DG,41-47DG,91DG                     |D101,D97,D93,D89,D17,PLA1;
92    |LCJL|S14LA,XLA    |S14     |(69),87<89>,(81-85<83>),(53-55),(15-17),(13),1-3,(5-7),1-3                     |69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,91DG,73DG,X3JG                     |D35,D31,D21,D9,D7,D1,X;
93    |LCJL|S14LA,XFLA    |S14     |(69),87<89>,(81-85<83>),(53-55),(15-17),(13),1-3,5-7                     |69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,IIAG,91DG,73DG,S1LQ                     |D35,D31,D21,D9,D7,D3,XF;
94    |LCJL|S14LA,PLA1    |S14     |(69),87<89>,81-85<83>,67,(63-65),121-123,39-41,47                     |69-89DG,67/89WG,67DG,65/67WG,65DG,63-121DG,41-47DG,91DG                     |D101,D97,D93,D89,D17,PLA1;
95    |LCJL|S16LA,XLA    |S16     |93,91,(87<89>),(81-85<83>),(53-55),(15-17),(13),1-3,(5-7),1-3                     |93DG,91DG,69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,73DG,X3JG                     |D35,D31,D21,D9,D7,D1,X;
96    |LCJL|S16LA,XFLA    |S16     |93,91,(87<89>),(81-85<83>),(53-55),(15-17),(13),1-3,5-7                     |93DG,91DG,69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,IIAG,73DG,S1LQ                     |D35,D31,D21,D9,D7,D3,XF;
97    |LCJL|S16LA,PLA1    |S16     |93,91,(87<89>),81-85<83>,67,(63-65),121-123,39-41,47                     |93DG,91DG,69-89DG,67/89WG,67DG,65/67WG,65DG,63-121DG,41-47DG                     |D101,D97,D93,D89,D17,PLA1;
98    |LCJL|S18LA,XLA    |S18     |(93),91,(87<89>),(81-85<83>),(53-55),(15-17),(13),1-3,(5-7),1-3                     |93DG,91DG,69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,73DG,X3JG                     |D35,D31,D21,D9,D7,D1,X;
99    |LCJL|S18LA,XFLA    |S18     |(93),91,(87<89>),(81-85<83>),(53-55),(15-17),(13),1-3,5-7                     |93DG,91DG,69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,IIAG,73DG,S1LQ                     |D35,D31,D21,D9,D7,D3,XF;
100    |LCJL|S18LA,PLA1    |S18     |(93),91,(87<89>),81-85<83>,67,(63-65),121-123,39-41,47                     |93DG,91DG,69-89DG,67/89WG,67DG,65/67WG,65DG,63-121DG,41-47DG                     |D101,D97,D93,D89,D17,PLA1;
101    |LCJL|S20LA,XLA    |S20     |(91),(87<89>),(81-85<83>),(53-55),(15-17),(13),1-3,(5-7),1-3                     |91DG,69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,3-5DG,IAG,93DG,73DG,X3JG                     |D35,D31,D21,D9,D7,D1,X;
102    |LCJL|S20LA,XFLA    |S20     |(91),(87<89>),(81-85<83>),(53-55),(15-17),(13),1-3,5-7                     |91DG,69-89DG,55-81DG,53-57DG,17/53WG,17-123DG,15DG,13/15WG,13DG,1-7DG,IIAG,93DG,73DG,S1LQ                     |D35,D31,D21,D9,D7,D3,XF;
103    |LCJL|S20LA,PLA1    |S20     |(91),(87<89>),81-85<83>,67,(63-65),121-123,39-41,47                     |91DG,69-89DG,67/89WG,67DG,65/67WG,65DG,63-121DG,41-47DG,93DG                     |D101,D97,D93,D89,D17,PLA1;
104    |LCJL|SJLA,XZ4LA    |SJ     |JF2-JF1                     |JF2DG,96/JF2WG                     |XZ4;
105    |LCJL|SJLA,XZ2LA    |SJ     |(JF2-JF1)                     |JF2DG,JF1DG,124/JF1WG                     |XZ2;
